Prairie View A&M def. Northern Colorado - S1W3, 21, 0
Penn def. Robert Morris - S1W3, 42, 35
Savannah State def. Sacred Heart - S1W3, 40, 26
Texas Southern def. St. Francis - S1W3, 14, 0
Towson def. VMI - S1W3, 47, 17
Western Carolina def. Abilene Christian - S1W4, 7, 7
Princeton def. Alabama A&M - S1W4, 52, 27
Yale def. Albany - S1W4, 30, 17
Marist def. Arkansas-Pine Bluff - S1W4, 20, 0
Bucknell def. Austin Peay - S1W4, 32, 13
Idaho def. Bethune-Cookman - S1W4, 7, 0
Brown def. Rhode Island - S1W4, 35, 28
Elon def. Bryant - S1W4, 17, 10
Butler def. Sacred Heart - S1W4, 41, 31
Cal Poly def. Presbyterian - S1W4, 31, 7
Campbell def. Maine - S1W4, 35, 11
Central Arkansas def. Northern Iowa - S1W4, 28, 14
Charleston Southern def. East Tennessee State - S1W4, 38, 17
Florida A&M def. Chattanooga - S1W4, 45, 21
Colgate def. Southern - S1W4, 7, 0
Columbia def. Sam Houston State - S1W4, 43, 33
Towson def. Cornell - S1W4, 20, 14
Dartmouth def. Holy Cross - S1W4, 35, 31
Stony Brook def. Davidson - S1W4, 51, 24
Dayton def. Delaware State - S1W4, 14, 7
Delaware def. Southeastern Louisiana - S1W4, 21, 0
Drake def. Villanova - S1W4, 14, 0
Kennesaw State def. Duquesne - S1W4, 13, 7
Eastern Illinois def. Lamar - S1W4, 10, 3
Eastern Washington def. Penn - S1W4, 28, 26
Fordham def. Nicholls State - S1W4, 24, 21
Indiana State def. Gardner-Webb - S1W4, 42, 28
Georgetown def. North Carolina A&T - S1W4, 14, 0
North Dakota State def. Hampton - S1W4, 34, 28
Houston Baptist def. Portland State - S1W4, 35, 18
Howard def. South Carolina State - S1W4, 42, 25
Idaho State def. Richmond - S1W4, 44, 33
Illinois State def. North Dakota - S1W4, 42, 35
Jacksonville def. Tennessee State - S1W4, 38, 16
Jacksonville State def. Tennessee Tech - S1W4, 20, 7
Prairie View A&M def. James Madison - S1W4, 7, 0
UC Davis def. Lafayette - S1W4, 42, 35
Lehigh def. Savannah State - S1W4, 27, 17
McNeese State def. Norfolk State - S1W4, 38, 37
Mercer def. Southern Illinois - S1W4, 24, 21
Mississippi Valley State def. Montana State - S1W4, 56, 32
Southern Utah def. Monmouth - S1W4, 20, 16
Montana def. Robert Morris - S1W4, 56, 35
Murray State def. The Citadel - S1W4, 84, 19
Sacramento State def. Wagner - S1W4, 50, 7
San Diego def. Wofford - S1W4, 41, 7
Weber State def. South Dakota - S1W4, 42, 10
Stetson def. Texas Southern - S1W4, 44, 41
William & Mary def. UT Martin - S1W4, 33, 28
Valparaiso def. VMI - S1W4, 41, 33
Abilene Christian def. Lamar - S1W5, 20, 9
Davidson def. Alabama State - S1W5, 14, 7
Central Connecticut def. Albany - S1W5, 20, 0
Arkansas-Pine Bluff def. Murray State - S1W5, 25, 20
Austin Peay def. Morehead State - S1W5, 17, 14
East Tennessee State def. Bethune-Cookman - S1W5, 14, 0
Brown def. Cornell - S1W5, 30, 16
Rhode Island def. Bryant - S1W5, 21, 3
Hampton def. Bucknell - S1W5, 21, 14
Valparaiso def. Butler - S1W5, 42, 30
Eastern Washington def. Cal Poly - S1W5, 28, 21
Campbell def. Stetson - S1W5, 33, 14
Eastern Kentucky def. Central Arkansas - S1W5, 45, 42
Charleston Southern def. Wofford - S1W5, 14, 7
Chattanooga def. Mercer - S1W5, 39, 29
Wagner def. Colgate - S1W5, 23, 13
Columbia def. Dartmouth - S1W5, 21, 14
Illinois State def. Dayton - S1W5, 14, 7
Delaware State def. Richmond - S1W5, 28, 21
Morgan State def. Delaware - S1W5, 7, 0
South Dakota State def. Drake - S1W5, 21, 14
VMI def. Duquesne - S1W5, 45, 14
Eastern Illinois def. Indiana State - S1W5, 23, 20
Elon def. Gardner-Webb - S1W5, 42, 21
Florida A&M def. Jacksonville - S1W5, 13, 0
Stony Brook def. Fordham - S1W5, 14, 10
South Carolina State def. Furman - S1W5, 21, 7
Georgetown def. Lehigh - S1W5, 7, 0
Princeton def. Harvard - S1W5, 42, 35
Maine def. Holy Cross - S1W5, 61, 27
Houston Baptist def. Northwestern State - S1W5, 14, 7
Lafayette def. Howard - S1W5, 38, 21
Idaho State def. Weber State - S1W5, 31, 21
Idaho def. Northern Arizona - S1W5, 49, 28
Jacksonville State def. Savannah State - S1W5, 21, 10
Monmouth def. Marist - S1W5, 38, 27
McNeese State def. Texas Southern - S1W5, 64, 51
Mississippi Valley State def. UT Martin - S1W5, 52, 20
Tennessee Tech def. Missouri State - S1W5, 35, 14
Montana State def. UC Davis - S1W5, 32, 23
Montana def. Sacramento State - S1W5, 57, 39
Nicholls State def. Sam Houston State - S1W5, 38, 7
Norfolk State def. North Carolina Central - S1W5, 42, 34
Western Illinois def. North Dakota State - S1W5, 34, 24
Southern Illinois def. North Dakota - S1W5, 64, 47
Northern Colorado def. Southern Utah - S1W5, 49, 46
Northern Iowa def. South Dakota - S1W5, 14, 10
Yale def. Penn - S1W5, 66, 42
Portland State def. San Diego - S1W5, 52, 26
Prairie View A&M def. Southern - S1W5, 20, 0
Robert Morris def. William & Mary - S1W5, 26, 0
Sacred Heart def. Towson - S1W5, 29, 22
Southeastern Louisiana def. Samford - S1W5, 12, 6
Tennessee State def. Southeast Missouri - S1W5, 34, 31
Presbyterian def. The Citadel - S1W5, 28, 24
Southern def. Northwestern State - S1W6, 14, 7
Samford def. Abilene Christian - S1W6, 18, 7
East Tennessee State def. Alabama State - S1W6, 14, 0
Fordham def. Albany - S1W6, 17, 14
Southeast Missouri def. Alcorn State - S1W6, 52, 42
Central Arkansas def. Arkansas-Pine Bluff - S1W6, 35, 34
Murray State def. Austin Peay - S1W6, 35, 21
Penn def. Brown - S1W6, 49, 27
Valparaiso def. South Dakota - S1W6, 14, 0
Stony Brook def. Bryant - S1W6, 25, 14
Butler def. Illinois State - S1W6, 46, 38
Cal Poly def. Sacramento State - S1W6, 28, 16
Campbell def. Florida A&M - S1W6, 31, 24
Central Connecticut def. Maine - S1W6, 30, 24
The Citadel def. Charleston Southern - S1W6, 70, 47
Chattanooga def. Stetson - S1W6, 14, 7
Hampton def. Colgate - S1W6, 21, 10
Columbia def. Harvard - S1W6, 17, 14
Cornell def. Yale - S1W6, 52, 42
Dartmouth def. Princeton - S1W6, 43, 7
Elon def. Davidson - S1W6, 14, 10
Delaware State def. Eastern Illinois - S1W6, 27, 21
Norfolk State def. Delaware - S1W6, 7, 0
Drake def. North Dakota State - S1W6, 27, 7
VMI def. Duquesne - S1W6, 31, 17
Eastern Kentucky def. Morehead State - S1W6, 48, 21
Eastern Washington def. Northern Colorado - S1W6, 24, 7
Presbyterian def. Furman - S1W6, 24, 17
Georgetown def. North Carolina Central - S1W6, 38, 31
McNeese State def. Grambling State - S1W6, 21, 14
New Hampshire def. Holy Cross - S1W6, 31, 28
Incarnate Word def. Houston Baptist - S1W6, 24, 21
Howard def. Lehigh - S1W6, 27, 16
